0 [main] INFO de.tum.ei.lkn.eces.graph.GraphSystem  - Graph@1da51a35 created.
47 [main] INFO de.tum.ei.lkn.eces.graph.GraphSystem  - Pod #0 Agg #1->Pod #0 Edge #1#0 creation (Pod #0 Agg #1 -> Pod #0 Edge #1) in Graph@134593bf triggered.
47 [main] INFO de.tum.ei.lkn.eces.graph.GraphSystem  - Pod #0 Agg #1->Pod #0 Edge #1#1 creation (Pod #0 Agg #1 -> Pod #0 Edge #1) in Graph@134593bf triggered.
47 [main] INFO de.tum.ei.lkn.eces.graph.GraphSystem  - Pod #0 Agg #1->Pod #0 Edge #1#2 creation (Pod #0 Agg #1 -> Pod #0 Edge #1) in Graph@134593bf triggered.
47 [main] INFO de.tum.ei.lkn.eces.graph.GraphSystem  - Pod #0 Agg #1->Pod #0 Edge #1#3 creation (Pod #0 Agg #1 -> Pod #0 Edge #1) in Graph@134593bf triggered.
47 [main] INFO de.tum.ei.lkn.eces.network.NetworkingSystem  - Pod #0 Agg #1->Pod #0 Edge #1 (NetworkNode@2f490758 -> NetworkNode@58a90037 - PriorityScheduler@67a20f67 - 4 queues) creation in Network@4bb4de6a triggered.
48 [main] INFO de.tum.ei.lkn.eces.network.NetworkingSystem  - Pod #0 Server #0 creation in Network@4bb4de6a triggered.
51 [main] INFO de.tum.ei.lkn.eces.graph.GraphSystem  - Pod #0 Server #0:eth0 creation in Graph@1da51a35 triggered.
51 [main] INFO de.tum.ei.lkn.eces.graph.GraphSystem  - Pod #0 Server #0:eth0 creation in Graph@134593bf triggered.
51 [main] INFO de.tum.ei.lkn.eces.network.NetworkingSystem  - NetworkNode@15c43bd9 creation in Network@4bb4de6a triggered.
54 [main] INFO de.tum.ei.lkn.eces.network.NetworkingSystem  - Addition of NetworkInterface@3d51f06e (NetworkNode@15c43bd9) to Pod #0 Server #0 triggered.
54 [main] INFO de.tum.ei.lkn.eces.graph.GraphSystem  - Pod #0 Edge #0->Pod #0 Server #0:eth0 creation (Pod #0 Edge #0 -> Pod #0 Server #0:eth0) in Graph@1da51a35 triggered.
55 [main] INFO de.tum.ei.lkn.eces.graph.GraphSystem  - Pod #0 Edge #0->Pod #0 Server #0:eth0#0 creation (Pod #0 Edge #0 -> Pod #0 Server #0:eth0) in Graph@134593bf triggered.
55 [main] INFO de.tum.ei.lkn.eces.graph.GraphSystem  - Pod #0 Edge #0->Pod #0 Server #0:eth0#1 creation (Pod #0 Edge #0 -> Pod #0 Server #0:eth0) in Graph@134593bf triggered.
55 [main] INFO de.tum.ei.lkn.eces.graph.GraphSystem  - Pod #0 Edge #0->Pod #0 Server #0:eth0#2 creation (Pod #0 Edge #0 -> Pod #0 Server #0:eth0) in Graph@134593bf triggered.
55 [main] INFO de.tum.ei.lkn.eces.graph.GraphSystem  - Pod #0 Edge #0->Pod #0 Server #0:eth0#3 creation (Pod #0 Edge #0 -> Pod #0 Server #0:eth0) in Graph@134593bf triggered.
55 [main] INFO de.tum.ei.lkn.eces.network.NetworkingSystem  - Pod #0 Edge #0->Pod #0 Server #0:eth0 (NetworkNode@3439f68d -> NetworkNode@15c43bd9 - PriorityScheduler@35ef1869 - 4 queues) creation in Network@4bb4de6a triggered.
55 [main] INFO de.tum.ei.lkn.eces.graph.GraphSystem  - Pod #0 Server #0:eth0->Pod #0 Edge #0 creation (Pod #0 Server #0:eth0 -> Pod #0 Edge #0) in Graph@1da51a35 triggered.
55 [main] INFO de.tum.ei.lkn.eces.graph.GraphSystem  - Pod #0 Server #0:eth0->Pod #0 Edge #0#0 creation (Pod #0 Server #0:eth0 -> Pod #0 Edge #0) in Graph@134593bf triggered.
55 [main] INFO de.tum.ei.lkn.eces.network.NetworkingSystem  - Pod #0 Server #0:eth0->Pod #0 Edge #0 (NetworkNode@15c43bd9 -> NetworkNode@3439f68d - PriorityScheduler@55b7a4e0 - 1 queues) creation in Network@4bb4de6a triggered.
55 [main] INFO de.tum.ei.lkn.eces.network.NetworkingSystem  - Pod #0 Server #1 creation in Network@4bb4de6a triggered.
56 [main] INFO de.tum.ei.lkn.eces.graph.GraphSystem  - Pod #0 Server #1:eth0 creation in Graph@1da51a35 triggered.
56 [main] INFO de.tum.ei.lkn.eces.graph.GraphSystem  - Pod #0 Server #1:eth0 creation in Graph@134593bf triggered.
56 [main] INFO de.tum.ei.lkn.eces.network.NetworkingSystem  - NetworkNode@40ef3420 creation in Network@4bb4de6a triggered.
56 [main] INFO de.tum.ei.lkn.eces.network.NetworkingSystem  - Addition of NetworkInterface@f5ac9e4 (NetworkNode@40ef3420) to Pod #0 Server #1 triggered.
56 [main] INFO de.tum.ei.lkn.eces.graph.GraphSystem  - Pod #0 Edge #0->Pod #0 Server #1:eth0 creation (Pod #0 Edge #0 -> Pod #0 Server #1:eth0) in Graph@1da51a35 triggered.
56 [main] INFO de.tum.ei.lkn.eces.graph.GraphSystem  - Pod #0 Edge #0->Pod #0 Server #1:eth0#0 creation (Pod #0 Edge #0 -> Pod #0 Server #1:eth0) in Graph@134593bf triggered.
56 [main] INFO de.tum.ei.lkn.eces.graph.GraphSystem  - Pod #0 Edge #0->Pod #0 Server #1:eth0#1 creation (Pod #0 Edge #0 -> Pod #0 Server #1:eth0) in Graph@134593bf triggered.
56 [main] INFO de.tum.ei.lkn.eces.graph.GraphSystem  - Pod #0 Edge #0->Pod #0 Server #1:eth0#2 creation (Pod #0 Edge #0 -> Pod #0 Server #1:eth0) in Graph@134593bf triggered.
56 [main] INFO de.tum.ei.lkn.eces.graph.GraphSystem  - Pod #0 Edge #0->Pod #0 Server #1:eth0#3 creation (Pod #0 Edge #0 -> Pod #0 Server #1:eth0) in Graph@134593bf triggered.
57 [main] INFO de.tum.ei.lkn.eces.network.NetworkingSystem  - Pod #0 Edge #0->Pod #0 Server #1:eth0 (NetworkNode@3439f68d -> NetworkNode@40ef3420 - PriorityScheduler@1d9b7cce - 4 queues) creation in Network@4bb4de6a triggered.
57 [main] INFO de.tum.ei.lkn.eces.graph.GraphSystem  - Pod #0 Server #1:eth0->Pod #0 Edge #0 creation (Pod #0 Server #1:eth0 -> Pod #0 Edge #0) in Graph@1da51a35 triggered.
